producto_id,nombre,descripcion,categoria_id,proveedor_id,ubicacion_id,stock_actual,stock_minimo,stock_maximo,punto_reorden,costo_unitario,precio_venta,precio_venta_mayoreo,ventas_mes_actual,ventas_mes_anterior,ventas_trimestre,ventas_año,fecha_ultima_compra,fecha_ultima_venta,fecha_creacion,codigo_barras,unidad_medida,marca,modelo,garantia_meses,requiere_refrigeracion,es_peligroso,activo
1,Cinta métrica 5m,Stanley STHT30825 - Producto profesional de alta calidad,1,1,1,42,8,32,13,33.33,45.20,39.78,32,29,90,352,2024-11-15,2024-12-08,2023-06-22,771234567890123,pieza,Stanley,STHT30825,6,FALSE,FALSE,TRUE
2,Cinta métrica 8m,Stanley STHT30830 - Producto profesional de alta calidad,1,1,2,67,12,48,17,48.15,65.45,57.60,48,42,134,528,2024-10-28,2024-12-11,2023-04-15,772345678901234,pieza,Stanley,STHT30830,6,FALSE,FALSE,TRUE
3,Alicate universal 8",Klein Tools D213-8 - Producto profesional de alta calidad,1,1,3,23,6,24,11,62.96,85.50,75.24,25,21,70,275,2024-11-22,2024-12-07,2023-08-10,773456789012345,pieza,Klein Tools,D213-8,6,FALSE,FALSE,TRUE
4,Alicate punta 6",Klein Tools D203-6 - Producto profesional de alta calidad,1,1,4,18,5,20,10,55.56,75.60,66.53,22,19,62,242,2024-11-05,2024-12-09,2023-03-28,774567890123456,pieza,Klein Tools,D203-6,6,FALSE,FALSE,TRUE
5,Destornillador plano 1/4",Stanley 60-010 - Producto profesional de alta calidad,1,2,5,34,7,28,12,18.52,25.18,22.16,28,25,78,308,2024-10-31,2024-12-06,2023-07-12,775678901234567,pieza,Stanley,60-010,6,FALSE,FALSE,TRUE
6,Destornillador Phillips #2,Stanley 60-020 - Producto profesional de alta calidad,1,2,6,45,8,32,13,20.74,28.20,24.82,31,27,87,341,2024-11-18,2024-12-10,2023-05-05,776789012345678,pieza,Stanley,60-020,6,FALSE,FALSE,TRUE
7,Martillo garra 16oz,Estwing E16C - Producto profesional de alta calidad,1,1,7,15,4,16,9,88.89,120.75,106.26,17,15,48,187,2024-11-12,2024-12-05,2023-09-20,777890123456789,pieza,Estwing,E16C,6,FALSE,FALSE,TRUE
8,Martillo bola 12oz,Estwing E12BP - Producto profesional de alta calidad,1,1,8,22,4,16,9,70.37,95.60,84.13,19,16,53,209,2024-10-25,2024-12-08,2023-02-14,778901234567890,pieza,Estwing,E12BP,6,FALSE,FALSE,TRUE
9,Llave inglesa 10",Crescent AC210VS - Producto profesional de alta calidad,1,2,1,28,5,20,10,70.37,95.60,84.13,21,18,59,231,2024-11-08,2024-12-09,2023-06-30,779012345678901,pieza,Crescent,AC210VS,6,FALSE,FALSE,TRUE
10,Llave inglesa 12",Crescent AC212VS - Producto profesional de alta calidad,1,2,2,19,4,16,9,92.59,125.95,110.84,16,14,45,176,2024-11-25,2024-12-07,2023-04-08,770123456789012,pieza,Crescent,AC212VS,6,FALSE,FALSE,TRUE
11,Taladro inalámbrico 12V,Makita FD05W - Producto profesional de alta calidad,2,4,3,8,3,12,8,360.00,450.90,396.79,12,10,34,132,2024-11-02,2024-12-11,2023-08-25,771234567890124,pieza,Makita,FD05W,12,FALSE,FALSE,TRUE
12,Taladro inalámbrico 18V,Makita DDF453 - Producto profesional de alta calidad,2,4,4,12,3,12,8,520.00,651.30,573.14,9,8,25,99,2024-10-29,2024-12-06,2023-03-18,772345678901235,pieza,Makita,DDF453,12,FALSE,FALSE,TRUE
13,Taladro percutor 1/2",Black & Decker BDH120 - Producto profesional de alta calidad,2,5,5,6,3,12,8,304.00,381.38,335.61,7,6,20,77,2024-11-19,2024-12-10,2023-07-03,773456789012346,pieza,Black & Decker,BDH120,12,FALSE,FALSE,TRUE
14,Sierra circular 7-1/4",Makita 5007MG - Producto profesional de alta calidad,2,4,6,4,3,12,8,712.00,892.05,784.60,5,4,14,55,2024-11-15,2024-12-08,2023-05-11,774567890123457,pieza,Makita,5007MG,12,FALSE,FALSE,TRUE
15,Esmeriladora 4-1/2",Black & Decker G720 - Producto profesional de alta calidad,2,5,7,9,3,12,8,336.00,421.26,370.71,8,7,22,88,2024-10-22,2024-12-09,2023-09-15,775678901234568,pieza,Black & Decker,G720,12,FALSE,FALSE,TRUE
16,Broca HSS 6mm,Bosch HSS-G-6 - Producto profesional de alta calidad,2,4,8,45,9,36,14,14.40,18.05,15.88,36,31,101,396,2024-11-06,2024-12-07,2023-02-28,776789012345679,pieza,Bosch,HSS-G-6,0,FALSE,FALSE,TRUE
17,Broca HSS 8mm,Bosch HSS-G-8 - Producto profesional de alta calidad,2,4,1,38,6,24,11,20.00,25.08,22.07,24,21,67,264,2024-11-23,2024-12-11,2023-06-16,777890123456780,pieza,Bosch,HSS-G-8,0,FALSE,FALSE,TRUE
18,Broca HSS 10mm,Bosch HSS-G-10 - Producto profesional de alta calidad,2,4,2,29,7,28,12,28.00,35.12,30.91,28,24,78,308,2024-10-30,2024-12-05,2023-04-22,778901234567891,pieza,Bosch,HSS-G-10,0,FALSE,FALSE,TRUE
19,Broca HSS 12mm,Bosch HSS-G-12 - Producto profesional de alta calidad,2,4,3,22,5,20,10,36.00,45.14,39.72,20,17,56,220,2024-11-09,2024-12-08,2023-08-07,779012345678902,pieza,Bosch,HSS-G-12,0,FALSE,FALSE,TRUE
